기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2020.2/4	강서구	계	593,203	19,301	22,972	21,532	24,696	35,338	52,828	50,637	51,945	45,914	47,610	43,736	45,429	44,233	31,465	22,940	15,576	9,593	4,810	1,941	478	229
2020.2/4	강서구	한국인	586,936	19,091	22,807	21,458	24,637	35,114	52,260	49,730	51,181	45,314	47,072	43,072	44,622	43,816	31,314	22,877	15,547	9,577	4,801	1,939	478	229
2020.2/4	강서구	등록외국인	6,267	210	165	74	59	224	568	907	764	600	538	664	807	417	151	63	29	16	9	2	-	-
2020.2/4	구로구	계	436,707	14,646	16,703	15,164	16,374	24,780	33,126	33,506	36,134	33,501	36,287	36,174	37,832	34,200	24,081	18,380	13,135	7,721	3,335	1,151	309	168
2020.2/4	구로구	한국인	405,075	13,520	15,785	14,643	16,076	23,971	31,636	30,434	33,292	30,939	32,902	31,503	31,879	31,246	23,378	18,185	13,079	7,673	3,318	1,143	305	168
2020.2/4	구로구	등록외국인	31,632	1,126	918	521	298	809	1,490	3,072	2,842	2,562	3,385	4,671	5,953	2,954	703	195	56	48	17	8	4	-
2020.2/4	금천구	계	250,554	6,899	7,618	7,085	8,543	15,042	22,774	19,932	18,874	16,714	20,332	22,715	24,513	20,563	13,697	10,302	7,667	4,348	1,942	631	189	174
2020.2/4	금천구	한국인	232,250	6,175	7,002	6,791	8,393	14,689	21,990	18,262	17,283	15,308	18,213	19,800	20,964	18,976	13,324	10,194	7,636	4,334	1,928	629	186	173
2020.2/4	금천구	등록외국인	18,304	724	616	294	150	353	784	1,670	1,591	1,406	2,119	2,915	3,549	1,587	373	108	31	14	14	2	3	1
2020.2/4	영등포구	계	405,154	13,770	13,758	11,855	13,572	22,723	37,437	37,659	35,565	29,475	32,270	33,013	34,458	29,528	20,046	15,431	11,718	7,514	3,548	1,176	366	272
2020.2/4	영등포구	한국인	373,349	12,739	12,767	11,266	13,243	22,027	36,058	34,694	32,793	26,970	28,885	28,209	28,216	26,506	19,329	15,217	11,652	7,464	3,522	1,160	360	272
2020.2/4	영등포구	등록외국인	31,805	1,031	991	589	329	696	1,379	2,965	2,772	2,505	3,385	4,804	6,242	3,022	717	214	66	50	26	16	6	-
2020.2/4	동작구	계	406,776	11,989	14,150	13,208	15,861	30,959	40,265	33,133	32,016	29,450	31,848	30,630	30,703	28,525	20,789	16,742	12,866	7,980	3,601	1,378	372	311
2020.2/4	동작구	한국인	395,165	11,766	13,977	13,103	15,641	28,340	38,654	32,059	31,238	28,840	31,114	29,594	29,292	27,780	20,616	16,696	12,844	7,962	3,594	1,375	372	308
2020.2/4	동작구	등록외국인	11,611	223	173	105	220	2,619	1,611	1,074	778	610	734	1,036	1,411	745	173	46	22	18	7	3	-	3
2020.2/4	관악구	계	516,318	11,248	13,325	13,198	17,130	41,714	71,236	50,936	40,725	34,489	37,726	36,439	36,694	34,117	25,771	20,851	16,123	8,926	3,681	1,321	352	316
2020.2/4	관악구	한국인	499,740	10,791	12,947	12,978	16,863	40,519	69,183	48,908	39,292	33,397	36,380	34,531	34,232	32,863	25,455	20,754	16,095	8,905	3,666	1,314	351	316
2020.2/4	관악구	등록외국인	16,578	457	378	220	267	1,195	2,053	2,028	1,433	1,092	1,346	1,908	2,462	1,254	316	97	28	21	15	7	1	-
2020.2/4	서초구	계	433,062	13,976	21,307	22,774	22,868	25,718	31,131	31,005	35,460	37,490	41,538	34,454	29,204	27,074	20,315	16,204	10,974	6,375	3,163	1,389	423	220
2020.2/4	서초구	한국인	428,919	13,871	21,116	22,619	22,766	25,504	30,647	30,414	34,896	37,008	41,137	34,141	28,916	26,926	20,261	16,183	10,960	6,366	3,160	1,386	423	219
2020.2/4	서초구	등록외국인	4,143	105	191	155	102	214	484	591	564	482	401	313	288	148	54	21	14	9	3	3	-	1
2020.2/4	강남구	계	546,158	14,458	23,437	28,574	30,919	34,065	42,394	40,899	44,562	47,130	53,206	44,502	36,071	32,844	25,685	20,142	13,414	7,554	3,819	1,705	494	284
2020.2/4	강남구	한국인	541,233	14,398	23,366	28,530	30,815	33,634	41,458	39,968	43,903	46,679	52,856	44,193	35,794	32,681	25,609	20,109	13,398	7,545	3,817	1,703	494	283
2020.2/4	강남구	등록외국인	4,925	60	71	44	104	431	936	931	659	451	350	309	277	163	76	33	16	9	2	2	-	1
2020.2/4	송파구	계	678,067	23,344	29,115	28,804	31,399	41,401	54,679	55,505	59,117	53,948	57,023	53,527	51,501	48,004	34,693	23,930	15,593	9,042	4,731	1,915	511	285
2020.2/4	송파구	한국인	671,512	23,170	28,918	28,691	31,338	41,101	54,027	54,593	58,305	53,416	56,380	52,802	50,670	47,586	34,581	23,892	15,574	9,031	4,728	1,913	511	285
2020.2/4	송파구	등록외국인	6,555	174	197	113	61	300	652	912	812	532	643	725	831	418	112	38	19	11	3	2	-	-
2020.2/4	강동구	계	461,547	15,625	19,485	19,087	20,556	27,203	34,780	33,867	38,912	36,444	37,971	36,532	37,358	35,985	25,672	18,014	11,861	6,753	3,365	1,456	379	242
2020.2/4	강동구	한국인	457,164	15,503	19,373	19,016	20,486	26,980	34,348	33,355	38,437	36,057	37,547	36,024	36,750	35,670	25,598	17,983	11,850	6,748	3,364	1,455	379	241
2020.2/4	강동구	등록외국인	4,383	122	112	71	70	223	432	512	475	387	424	508	608	315	74	31	11	5	1	1	-	1
